old_table_name,old_column_name,new_table_name,new_column_name
v_member_combined_current,meme_ck,current_member,member_bk
v_member_combined_current,sbsb_ck,current_member,subscriber_bk
v_subscriber_combined_current,grgr_ck,current_subscriber,group_bk
v_member_combined_current,meme_sfx,current_member,member_suffix
v_member_combined_current,meme_first_name,current_member,member_first_name
v_member_combined_current,meme_last_name,current_member,member_last_name
v_member_combined_current,meme_sex,current_member,member_sex
v_member_combined_current,meme_birth_dt,current_member,member_birth_dt
v_member_combined_current,meme_ssn,current_member,member_ssn
v_member_combined_current,bkcc_member,current_member,source
v_member_combined_current,memm_row_id,current_member,person_bk
v_member_combined_current,dss_record_source,current_member,edp_record_source
v_member_combined_current,dss_load_date,current_member,edp_start_dt
v_member_combined_current,dss_start_date,current_member,edp_start_dt
v_member_combined_current,dss_version,[no corollary column]
v_member_combined_current,dss_create_time,[no corollary column]
v_subscriber_combined_current,sbsb_ck,current_subscriber,subscriber_bk
v_subscriber_combined_current,sbsb_id,current_subscriber,subscriber_identifier
v_subscriber_combined_current,bkcc_subscriber,current_subscriber,source
v_group_combined_current,grgr_ck,current_group,group_bk
v_group_combined_current,grgr_id,current_group,group_id
v_group_combined_current,bkcc_group,current_group,source
CMC_EXID_EXT_ID,exid_id,current_person,person_id
CMC_EXID_EXT_ID,source_id,current_person,source
CMC_EXID_EXT_ID,memm_row_id,current_person,person_bk
CMC_EXID_EXT_ID,exid_mctr_ext_type,current_person,person_id_type
