source_schema,source_table,source_column,table_description,column_description,column_data_type
﻿source_schema,source_table,source_column,table_description,column_description,column_data_type
dbo,bpa_aprl_app_rul_a,pzpz_id,Application Rule Availability,Application Production ID,char
dbo,bpa_aprl_app_rul_a,pzap_app_id,Application Rule Availability,Product Application ID,char
dbo,bpa_aprl_app_rul_a,rltd_rule_type,Application Rule Availability,Rule Type,char
dbo,bpa_aprl_app_rul_a,aprl_lock_token,Application Rule Availability,Lock Token,smallint
dbo,bpa_aprl_app_rul_a,atxr_source_id,Application Rule Availability,Attachment Source Id,datetime
dbo,bpa_aprl_app_rul_a,sys_last_upd_dtm,Application Rule Availability,Last Update Datetime,datetime
dbo,bpa_aprl_app_rul_a,sys_usus_id,Application Rule Availability,Last Update User ID,varchar
dbo,bpa_aprl_app_rul_a,sys_dbuser_id,Application Rule Availability,Last Update DBMS User ID,varchar
dbo,bpa_brgr_rul_grp_r,brgu_gu_id,Rule Group, Business Process Usage GUID,char
dbo,bpa_brgr_rul_grp_r,rlgd_gu_id,Rule Group, Rule Group GUID,char
dbo,bpa_brgr_rul_grp_r,brgr_lock_token,Rule Group,Lock Token,smallint
dbo,bpa_brgr_rul_grp_r,atxr_source_id,Rule Group,Attachment Source Id,datetime
dbo,bpa_brgr_rul_grp_r,sys_last_upd_dtm,Rule Group,Last Update Datetime,datetime
dbo,bpa_brgr_rul_grp_r,sys_usus_id,Rule Group,Last Update User ID,varchar
dbo,bpa_brgr_rul_grp_r,sys_dbuser_id,Rule Group,Last Update DBMS User ID,varchar
dbo,bpa_brgr_rul_grp_r,brgr_seq_no,Rule Group, Sequence Number,smallint
dbo,bpa_brgr_rul_grp_r,brgr_eff_dt,Rule Group,Effective Date,datetime
dbo,bpa_brgr_rul_grp_r,brgr_term_dt,Rule Group,Termination Date,datetime
dbo,bpa_brgu_rul_grp_u,brgu_gu_id,Business Process Rule Group Usage, Rule Group Usage GUID,char
dbo,bpa_brgu_rul_grp_u,rltd_rule_type,Business Process Rule Group Usage, Rule Type,char
dbo,bpa_brgu_rul_grp_u,bptd_bus_pcs_type,Business Process Rule Group Usage, Business Process Type,char
dbo,bpa_brgu_rul_grp_u,brgu_eff_dt,Business Process Rule Group Usage, Effective Date,datetime
dbo,bpa_brgu_rul_grp_u,brgu_term_dt,Business Process Rule Group Usage, Termination Date,datetime
dbo,bpa_brgu_rul_grp_u,brgu_usage_id,Business Process Rule Group Usage, Rule Group Usage ID,varchar
dbo,bpa_brgu_rul_grp_u,brgu_lock_token,Business Process Rule Group Usage,Lock Token,smallint
dbo,bpa_brgu_rul_grp_u,atxr_source_id,Business Process Rule Group Usage,Attachment Source Id,datetime
dbo,bpa_brgu_rul_grp_u,sys_last_upd_dtm,Business Process Rule Group Usage,Last Update Datetime,datetime
dbo,bpa_brgu_rul_grp_u,sys_usus_id,Business Process Rule Group Usage,Last Update User ID,varchar
dbo,bpa_brgu_rul_grp_u,sys_dbuser_id,Business Process Rule Group Usage,Last Update DBMS User ID,varchar
dbo,bpa_dpsc_svc_cat_a,dofr_id,Service Category Association, DOFR_ID,char
dbo,bpa_dpsc_svc_cat_a,qltd_qual_type,Service Category Association, Qualifier Type,char
dbo,bpa_dpsc_svc_cat_a,dfsc_id,Service Category Association, DOFR Service Category ID,char
dbo,bpa_dpsc_svc_cat_a,dpsc_section,Service Category Association, Processing Section,smallint
dbo,bpa_dpsc_svc_cat_a,rlbp_gu_id,Service Category Association, Rule ID,char
dbo,bpa_dpsc_svc_cat_a,dpsc_lock_token,Service Category Association,Lock Token,smallint
dbo,bpa_dpsc_svc_cat_a,atxr_source_id,Service Category Association,Attachment Source Id,datetime
dbo,bpa_dpsc_svc_cat_a,sys_last_upd_dtm,Service Category Association,Last Update Datetime,datetime
dbo,bpa_dpsc_svc_cat_a,sys_usus_id,Service Category Association,Last Update User ID,varchar
dbo,bpa_dpsc_svc_cat_a,sys_dbuser_id,Service Category Association,Last Update DBMS User ID,varchar
dbo,bpa_dsas_data_state,dsas_data_id,Data State, Data Identification Number,varchar
dbo,bpa_dsas_data_state,tbtb_id,Data State,Table Identification Number,char
dbo,bpa_dsas_data_state,dsas_action_cd,Data State, Action Code,char
dbo,bpa_dsas_data_state,dsas_last_upd_dtm,Data State,Last Update Time,datetime
dbo,bpa_dsas_data_state,dsas_last_usus_id,Data State, User Identification,char
dbo,bpa_dscr_cond_r,dfsc_id,Service Category Condition, Service Category ID,char
dbo,bpa_dscr_cond_r,qlcd_gu_id,Service Category Condition, Condition ID,char
dbo,bpa_dscr_cond_r,qltd_qual_type,Service Category Condition, Qualifier Type,char
dbo,bpa_dscr_cond_r,dscr_lock_token,Service Category Condition,Lock Token,smallint
dbo,bpa_dscr_cond_r,atxr_source_id,Service Category Condition,Attachment Source Id,datetime
dbo,bpa_dscr_cond_r,sys_last_upd_dtm,Service Category Condition,Last Update Datetime,datetime
dbo,bpa_dscr_cond_r,sys_usus_id,Service Category Condition,Last Update User ID,varchar
dbo,bpa_dscr_cond_r,sys_dbuser_id,Service Category Condition,Last Update DBMS User ID,varchar
dbo,bpa_dsrm_svc_map_d,rlbp_gu_id,DOFR Service Category Mapping, Rule ID,char
dbo,bpa_dsrm_svc_map_d,dsrm_seq_no,DOFR Service Category Mapping,Sequence Number,smallint
dbo,bpa_dsrm_svc_map_d,dofr_id,DOFR Service Category Mapping, DOFR ID,char
dbo,bpa_dsrm_svc_map_d,dfsc_id,DOFR Service Category Mapping, Service Category ID,char
dbo,bpa_dsrm_svc_map_d,dsrm_prcs_seq,DOFR Service Category Mapping, Processing Sequence,smallint
dbo,bpa_dsrm_svc_map_d,dsrm_cl_delg_ind,DOFR Service Category Mapping,Claim Delegation Indicator,char
